"302551.97363807,4123819.81175354"
"302552.848041459,4123819.31826093"
"302553.76673736,4123818.78843369"
"302554.646366369,4123818.27717194"
"302555.514963856,4123817.77675762"
"302555.849687648,4123817.61183095"
"302556.74051446,4123817.09677675"
"302557.607826158,4123816.54168897"
"302558.49268104,4123816.0126583"
"302559.433648316,4123815.46995536"
"302560.331069968,4123814.99533324"
"302561.221399503,4123814.45911552"
"302562.124088271,4123813.96848793"
"302563.027109008,4123813.49196978"
"302563.963847008,4123813.00936473"
"302564.940440351,4123812.54170415"
"302565.951663591,4123812.10675737"
"302566.938999793,4123811.85589545"
"302567.95433135,4123811.83554341"
"302568.994629957,4123811.91695356"
"302570.04326515,4123812.11286955"
"302571.022517571,4123812.47805866"
"302571.943667709,4123813.01225553"
"302572.814636048,4123813.57233778"
"302573.62053438,4123814.24512307"
"302574.332539137,4123815.00481966"
"302574.932982862,4123815.82007949"
"302575.455790138,4123816.69363393"
"302575.911660779,4123817.60052629"
"302576.357329302,4123818.55353935"
"302576.791053512,4123819.47859906"
"302577.303202077,4123820.37887392"
"302577.866112907,4123821.2779549"
"302578.389541786,4123822.1779645"
"302578.901399672,4123823.06589378"
"302579.402599135,4123823.98054341"
"302579.881278939,4123824.89748735"
"302580.388118464,4123825.81200437"
"302580.905035478,4123826.67510976"
"302581.19899471,4123827.17641323"
"302581.722713267,4123828.0887687"
"302582.23548304,4123829.01549884"
"302582.720549173,4123829.96405628"
"302583.18176831,4123830.85847067"
"302583.695077009,4123831.80812857"
"302584.207348613,4123832.71369481"
"302584.712984354,4123833.57706571"
"302585.283275983,4123834.55008851"
"302585.794759166,4123835.42214516"
"302586.301058263,4123836.31373483"
"302586.790726852,4123837.21806814"
"302587.274340306,4123838.10489746"
"302587.77043705,4123839.04260786"
"302588.255004319,4123839.97000158"
"302588.711079889,4123840.8857129"
"302589.173708142,4123841.84009228"
"302589.608052099,4123842.79160759"
"302590.015439077,4123843.79669618"
"302590.315163536,4123844.78314111"
"302590.565287101,4123845.82016257"
"302590.764275102,4123846.84250486"
"302590.89027171,4123847.88068093"
"302590.948875707,4123848.93279445"
"302590.983798814,4123849.93781954"
"302590.979115791,4123850.93848218"
"302590.856817252,4123851.97720378"
"302590.666338114,4123852.99635317"
"302590.432354773,4123854.08534677"
"302590.146572371,4123855.13144255"
"302589.762707616,4123856.08631901"
"302589.288557652,4123857.04155422"
"302588.790726922,4123857.94970104"
"302588.235208081,4123858.80450071"
"302587.633945274,4123859.63390662"
"302586.941277382,4123860.41605231"
"302586.180014236,4123861.16098921"
"302585.371928675,4123861.83467704"
"302585.016262985,4123862.06891624"
"302584.115942811,4123862.6600706"
"302583.220557829,4123863.22111007"
"302582.352668969,4123863.75150402"
"302581.474661208,4123864.33154606"
"302580.606523685,4123864.8513582"
"302579.670993832,4123865.38510798"
"302578.752301831,4123865.91493256"
"302577.849742496,4123866.4108496"
"302576.964601743,4123866.92753277"
"302576.040186877,4123867.45396298"
"302575.109551142,4123867.95583462"
"302574.217526014,4123868.41974073"
"302573.343002428,4123868.9079403"
"302572.416970169,4123869.36558791"
"302571.491477286,4123869.8461633"
"302570.549354196,4123870.33948245"
"302569.613161821,4123870.84501473"
"302568.665232776,4123871.3314121"
"302567.712036964,4123871.83381525"
"302566.782688169,4123872.39036155"
"302565.840399683,4123872.87662658"
"302564.915820183,4123873.39600341"
"302563.985061267,4123873.89258534"
"302563.026018353,4123874.38630338"
"302562.073072107,4123874.89928921"
"302561.120250421,4123875.41756616"
"302560.210974235,4123875.86776249"
"302559.269474708,4123876.38753798"
"302558.345269344,4123876.92278858"
"302557.495922003,4123877.52157025"
"302556.821465113,4123878.3579943"
"302556.442955159,4123879.30039417"
"302556.172854142,4123880.2931833"
"302556.075088285,4123883.57419048"
"302556.661554393,4123884.51506737"
"302557.220026701,4123885.465426"
"302557.773397989,4123886.43884501"
"302558.338132561,4123887.41552605"
"302558.901124621,4123888.31813308"
"302559.452670184,4123889.21395082"
"302559.992810746,4123890.10474293"
"302560.504169322,4123890.97150707"
"302561.011215102,4123891.89484127"
"302561.535222914,4123892.81954116"
"302562.082164843,4123893.75958342"
"302562.606545803,4123894.70015637"
"302563.135571229,4123895.59826867"
"302563.670485663,4123896.50683033"
"302564.161190956,4123897.45525406"
"302564.679972751,4123898.39772347"
"302565.227370333,4123899.35716625"
"302565.753161095,4123900.35770408"
"302566.237852387,4123901.29038757"
"302566.728847537,4123902.2511571"
"302567.231454872,4123903.22577066"
"302567.739660823,4123904.19848792"
"302568.27668995,4123905.19699689"
"302568.802189654,4123906.18518922"
"302569.288249276,4123907.1760739"
"302569.762945416,4123908.16369659"
"302570.25564064,4123909.19677667"
"302570.688905427,4123910.10243569"
"302571.173886069,4123911.0474651"
"302571.65957183,4123912.02247689"
"302572.190710963,4123913.01053674"
"302572.693317104,4123913.9851506"
"302573.19007553,4123914.9510788"
"302573.686543467,4123915.90466136"
"302574.165551425,4123916.83571425"
"302574.644683731,4123917.77205817"
"302575.101172181,4123918.70540542"
"302575.540283641,4123919.61975033"
"302576.021572747,4123920.64780504"
"302576.473623704,4123921.63243137"
"302576.929738435,4123922.5499057"
"302577.386019,4123923.47443473"
"302577.842423921,4123924.40425477"
"302578.326656378,4123925.31753854"
"302578.799732794,4123926.23637865"
"302579.390671079,4123926.88775016"
"302579.842555432,4123927.86532199"
"302580.253465016,4123928.78033041"
"302580.676567487,4123929.73387422"
"302581.117378591,4123930.72052976"
"302581.569967754,4123931.72808402"
"302581.998170889,4123932.65856755"
"302582.421480411,4123933.62092977"
"302582.838154106,4123934.54109665"
"302583.260426426,4123935.45936722"
"302583.677182921,4123936.38306147"
"302584.105468586,4123937.31707243"
"302584.5627847,4123938.28569349"
"302584.9921072,4123939.26379618"
"302585.410688494,4123940.26509188"
"302585.795055283,4123941.25131052"
"302586.167934218,4123942.22897614"
"302586.512902532,4123943.21965072"
"302586.875413524,4123944.23638236"
"302587.271184793,4123945.22762675"
"302587.690346301,4123946.25361389"
"302588.156288348,4123947.34908654"
"302588.609456645,4123948.38133247"
"302589.015636823,4123949.33527461"
"302589.422356158,4123950.31214444"
"302589.77760867,4123951.26022581"
"302590.121912592,4123952.22268184"
"302590.450706242,4123953.24550053"
"302590.756316933,4123954.24239482"
"302591.044301883,4123955.20970473"
"302591.310472723,4123956.20929126"
"302591.571376649,4123957.22488347"
"302591.848578846,4123958.21362271"
"302592.137932397,4123959.23913368"
"302592.421479804,4123960.25772264"
"302592.711455427,4123961.30968865"
"302593.007112636,4123962.36328568"
"302593.331178013,4123963.4250378"
"302593.649769075,4123964.49397726"
"302593.898645592,4123965.47808881"
"302594.187749841,4123966.49301783"
"302594.431069045,4123967.48078938"
"302594.66451817,4123968.52879093"
"302594.908791298,4123969.55712685"
"302595.131706627,4123970.63713973"
"302595.290879484,4123971.64630137"
"302595.461622992,4123972.6675434"
"302595.611050195,4123973.74222605"
"302595.778102997,4123974.84649311"
"302595.880583803,4123975.84463558"
"302596.017901036,4123976.88431019"
"302596.115529751,4123977.916095"
"302596.185123589,4123978.95559772"
"302596.237548071,4123979.98491638"
"302596.291051007,4123981.06009041"
"302596.293419241,4123982.12058526"
"302596.335144123,4123983.17486057"
"302596.354557271,4123984.24024849"
"302596.362565683,4123985.30061069"
"302596.386872374,4123986.33411994"
"302596.416902181,4123987.37102388"
"302596.396295077,4123988.41441266"
"302596.613239927,4123989.96043179"
"302596.637671062,4123990.99923205"
"302596.645015838,4123992.03137558"
"302596.646803439,4123993.0671791"
"302596.661198674,4123994.1591547"
"302596.674805815,4123995.2176206"
"302596.687915216,4123996.2549225"
"302596.706249977,4123997.27445507"
"302596.736113908,4123998.30430435"
"302596.756522636,4123999.41202031"
"302596.786718409,4124000.45597893"
"302596.816914186,4124001.49993756"
"302596.848644692,4124002.6091519"
"302596.883526596,4124003.61241352"
"302596.931223509,4124004.68066555"
"302596.968179373,4124005.77211056"
"302597.011397571,4124006.88987795"
"302597.043376971,4124008.00967429"
"302597.070255468,4124009.15253097"
"302597.113929938,4124010.2896987"
"302597.18265267,4124011.29216445"
"302597.259836116,4124012.41442695"
"302597.3599534,4124013.55203186"
"302597.487773583,4124014.66780953"
"302597.610285446,4124015.79782918"
"302597.732548422,4124016.91726683"
"302597.8543551,4124018.01730414"
"302597.987690895,4124019.12765816"
"302598.137656699,4124020.22526857"
"302598.293387044,4124021.32803733"
"302598.432445851,4124022.44178605"
"302598.594065146,4124023.55500417"
"302598.741790974,4124024.55737653"
"302598.867329593,4124025.57615249"
"302598.998135,4124026.5789228"
"302599.123258785,4124027.58006209"
"302599.267625743,4124028.67956883"
"302599.423148488,4124029.77351928"
"302599.567764265,4124030.88360803"
"302599.700353157,4124031.96221606"
"302599.832319846,4124033.01436908"
"302599.923768702,4124034.02335894"
"302600.027202919,4124035.06206586"
"302600.124001518,4124036.0585774"
"302600.244190149,4124037.08983171"
"302600.337132194,4124038.16231361"
"302600.384621468,4124039.22174735"
"302600.431903343,4124040.27236276"
"302600.455712224,4124041.28470806"
"302600.46948525,4124042.3502287"
"302600.489686498,4124043.44912637"
"302600.549327059,4124044.54533185"
"302600.587029355,4124045.66852293"
"302600.638789941,4124046.669623"
"302600.668612271,4124047.69770868"
"302600.678445855,4124048.83567235"
"302600.664018381,4124049.90185623"
"302600.643162708,4124050.93466307"
"302600.650839427,4124051.98091602"
"302600.646738193,4124053.00627025"
"302600.638033842,4124054.07584883"
"302600.634347418,4124055.11883974"
"302600.626431196,4124056.22192801"
"302600.607691045,4124057.34468192"
"302600.594508063,4124058.46377585"
"302600.573362161,4124059.48423703"
"302600.457703354,4124060.56515426"
"302600.080401543,4124061.55869891"
"302599.617751688,4124062.52248729"
"302599.182182507,4124063.43799342"
"302598.714100171,4124064.41073285"
"302598.240460817,4124065.38713229"
"302597.771424683,4124066.31930742"
"302597.404657056,4124067.2808409"
"302597.159774382,4124068.38597318"
"302597.139666031,4124069.4505261"
"302597.085468242,4124070.50529292"
"302597.02019769,4124071.56914337"
"302597.050933202,4124072.63602978"
"302597.081087996,4124073.67822484"
"302597.087935786,4124074.68920448"
"302597.038507104,4124075.70680163"
"302596.994925939,4124076.73308447"
"302596.957275243,4124077.77158034"
"302596.914648168,4124078.83842754"
"302596.906857167,4124079.94680688"
"302596.88832525,4124081.0783792"
"302596.885801045,4124082.17075287"
"302596.900197117,4124083.2627286"
"302596.892406178,4124084.37110794"
"302596.907258553,4124085.48248401"
"302596.920368763,4124086.51978604"
"302596.922821022,4124087.58380839"
"302596.924153323,4124088.6002117"
"302596.914786196,4124089.64157167"
